DEPARTURE_DATE,ARRIVAL_DATE,ARRIVAL_PLACE_ID,PLACE_NAME,VESSEL_ID,VESSEL_NAME,STORAGE_CAPACITY,INFORMATION_SOURCE_ID,PARAMETER_DETAIL,FISHERY_TYPE_ID,PARAMETER_DETAIL(human consumption type),CATCH_WEIGHT_TRIP,TAXON_ID,COMMON_NAME,CATCH_WEIGHT_SPECIES,
,26-01-2018,28,CHANCAY,43225,"REGION CHAVIN I, CAJAMARCA 8                                                                                            ",368.15,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,251545.0000,103,"Anchoveta, anchoveta peruana, peladilla",251545.0000,
,26-01-2018,28,CHANCAY,41739,ERNESTINA                                                                                                               ,280.90,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,155915.0000,103,"Anchoveta, anchoveta peruana, peladilla",155915.0000,
,07-01-2018,52,SUPE                                                        ,42739,"POLAR VII, RODDY                                                                                                        ",530.00,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,61285.0000,103,"Anchoveta, anchoveta peruana, peladilla",61285.0000,
,07-01-2018,52,SUPE                                                        ,41844,"NATALIA, YAGO II, RODGA                                                                                                 ",499.18,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,46245.0000,103,"Anchoveta, anchoveta peruana, peladilla",46245.0000,
,08-01-2018,52,SUPE                                                        ,43138,"TASA 417, INANSA, INANSA II                                                                                             ",440.70,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,180790.0000,103,"Anchoveta, anchoveta peruana, peladilla",180790.0000,
,08-01-2018,52,SUPE                                                        ,41826,"PDA-03, OSQUITAR                                                                                                                                                                                        ",350.00,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,26975.0000,103,"Anchoveta, anchoveta peruana, peladilla",26975.0000,
,08-01-2018,52,SUPE                                                        ,41791,"TASA 413, OLMOS II                                                                                                      ",444.50,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,136615.0000,103,"Anchoveta, anchoveta peruana, peladilla",136615.0000,
,08-01-2018,52,SUPE                                                        ,40964,"TASA 314, CONTUMAZA 4                                                                                                   ",343.37,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,37290.0000,103,"Anchoveta, anchoveta peruana, peladilla",37290.0000,
,08-01-2018,52,SUPE                                                        ,42985,"TASA 310, ZAÑA                                                                                                          ",332.20,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,115595.0000,103,"Anchoveta, anchoveta peruana, peladilla",115595.0000,
,22-06-2018,10,PAITA,42414,MARIA ISABEL II                                                                                                         ,98.00,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,40970.0000,103,"Anchoveta, anchoveta peruana, peladilla",40970.0000,
27-02-2023 16:03:00,28-02-2023 14:22:00,10,PAITA,25530,FLIPER                                                      ,45.00,3,ARTESANAL,26,DIRECT HUMAN CONSUMPTION,7000.0000,103,"Anchoveta, anchoveta peruana, peladilla",7000.0000,
,13-01-2018,28,CHANCAY,43445,ROSA II                                                                                                                 ,441.20,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,308865.0000,103,"Anchoveta, anchoveta peruana, peladilla",308865.0000,
,13-01-2018,28,CHANCAY,42280,RESBALOSA II                                                                                                            ,432.13,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,422855.0000,103,"Anchoveta, anchoveta peruana, peladilla",422855.0000,
,13-01-2018,28,CHANCAY,43312,NUNCIA                                                                                                                  ,439.80,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,323350.0000,103,"Anchoveta, anchoveta peruana, peladilla",323350.0000,
,13-01-2018,28,CHANCAY,41894,DON LUIS                                                                                                                ,508.50,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,263160.0000,103,"Anchoveta, anchoveta peruana, peladilla",263160.0000,
,14-01-2018,28,CHANCAY,43312,NUNCIA                                                                                                                  ,439.80,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,130645.0000,103,"Anchoveta, anchoveta peruana, peladilla",130645.0000,
,14-01-2018,28,CHANCAY,42280,RESBALOSA II                                                                                                            ,432.13,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,263260.0000,103,"Anchoveta, anchoveta peruana, peladilla",263260.0000,
,14-01-2018,28,CHANCAY,43424,SIMON                                                                                                                   ,433.80,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,35610.0000,103,"Anchoveta, anchoveta peruana, peladilla",35610.0000,
,14-01-2018,28,CHANCAY,43445,ROSA II                                                                                                                 ,441.20,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,241190.0000,103,"Anchoveta, anchoveta peruana, peladilla",241190.0000,
,14-01-2018,28,CHANCAY,43165,"SIMY 7, LORETO 7                                                                                                        ",350.00,1,PELAGICOS,27,INDIRECT HUMAN CONSUMPTION,497465.0000,103,"Anchoveta, anchoveta peruana, peladilla",497465.0000,
